"nNodes","nFlights","datFile","opt","totalTime","optTime","iterations","optimalIteration"
6,20,grid0,484,33.892738,31.821433,1,1
6,20,grid6,563,34.466703,32.405615,1,1
6,20,grid11,542,35.626869,33.605702,1,1
6,20,grid16,488,35.885352,33.838522,1,1
6,20,grid8,549,36.410763,34.364373,1,1
6,20,grid3,526,36.681836,34.655691,1,1
6,20,grid2,412,37.748869,35.671884,1,1
6,20,grid18,473,38.994653,36.891240,1,1
6,20,grid4,502,40.886864,37.973868,1,1
6,20,grid9,513,46.868334,43.016986,1,1
6,20,grid15,464,48.000458,44.131186,1,1
6,20,grid13,452,51.517072,48.869217,1,1
5,15,grid13,398,15.312145,13.976834,1,1
5,15,grid18,278,16.090141,15.375819,1,1
5,15,grid10,316,16.791900,15.603953,1,1
5,15,grid11,293,17.230603,15.998871,1,1
5,15,grid19,365,17.520145,16.238589,1,1
5,15,grid12,307,17.628374,16.381079,1,1
5,15,grid4,249,17.527079,16.291346,1,1
5,15,grid17,280,17.768452,16.488925,1,1
5,15,grid1,330,17.788578,16.522205,1,1
5,15,grid9,306,17.757000,16.474209,1,1
5,15,grid14,283,17.917883,16.639108,1,1
5,15,grid6,329,17.727337,16.521195,1,1
5,15,grid5,349,19.030498,17.770170,1,1
5,15,grid7,320,19.128395,18.415185,1,1
5,15,grid16,397,19.840395,18.576562,1,1
5,15,grid0,365,21.362128,20.631954,1,1
6,20,grid10,554,60.595833,56.759094,1,1
5,15,grid2,355,23.542427,22.265507,1,1
5,15,grid15,349,35.414997,34.156327,1,1
5,15,grid8,389,37.004871,36.230064,1,1
5,15,metroplex15,544,37.793078,34.756336,1,1
6,20,grid14,514,77.148217,73.228615,1,1
5,15,metroplex10,806,37.902880,36.122355,1,1
5,15,airport3,622,39.154260,37.016591,1,1
5,15,airport10,613,43.990762,41.791307,1,1
5,15,metroplex19,630,43.833147,42.049560,1,1
5,15,metroplex6,435,44.303141,41.259028,1,1
5,15,metroplex8,639,45.291105,43.428639,1,1
